eeacellcode	level2gid	specieskey	year	province	occurrences	ispresent
1kmE3933N3106	BEL.2.4_1	5218786	2020		0	0
1kmE3933N3106	BEL.2.4_1	5218786	2021		0	0
1kmE3933N3106	BEL.2.4_1	5218786	2022		0	0
1kmE3933N3106	BEL.2.4_1	5218786	2023		0	0
1kmE3933N3106	BEL.2.4_1	5218786	2024	Flemish Brabant	1	1
1kmE3941N3115	BEL.2.1_1	5218786	1986		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1987		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1988		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1989		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1990		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1991		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1992		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1993		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1994		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1995		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1996		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1997		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1998		0	0
1kmE3941N3115	BEL.2.1_1	5218786	1999		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2000		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2001		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2002		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2003		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2004		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2005		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2006		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2007		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2008		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2009		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2010		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2011		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2012		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2013		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2014		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2015		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2016		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2017		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2018		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2019		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2020		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2021		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2022		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2023		0	0
1kmE3941N3115	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3941N3116	BEL.2.1_1	5218786	1986		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1987		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1988		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1989		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1990		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1991		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1992		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1993		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1994		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1995		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1996		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1997		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1998		0	0
1kmE3941N3116	BEL.2.1_1	5218786	1999		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2000		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2001		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2002		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2003		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2004		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2005		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2006		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2007		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2008		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2009		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2010		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2011		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2012		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2013		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2014		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2015		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2016		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2017		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2018		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2019		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2020		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2021		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2022		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2023		0	0
1kmE3941N3116	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3942N3142	BEL.2.1_1	5218786	1986		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1987		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1988		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1989		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1990		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1991		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1992		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1993		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1994		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1995		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1996		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1997		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1998		0	0
1kmE3942N3142	BEL.2.1_1	5218786	1999		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2000		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2001		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2002		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2003		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2004		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2005		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2006		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2007		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2008		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2009		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2010		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2011		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2012		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2013		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2014		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2015		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2016		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2017		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2018		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2019		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2020		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2021		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2022		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2023		0	0
1kmE3942N3142	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3943N3091	BEL.2.4_1	5218786	2009		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2010		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2011		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2012		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2013		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2014		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2015		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2016		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2017		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2018		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2019		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2020		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2021		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2022		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2023		0	0
1kmE3943N3091	BEL.2.4_1	5218786	2024	Flemish Brabant	1	1
1kmE3943N3137	BEL.2.1_1	5218786	1986		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1987		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1988		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1989		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1990		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1991		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1992		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1993		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1994		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1995		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1996		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1997		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1998		0	0
1kmE3943N3137	BEL.2.1_1	5218786	1999		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2000		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2001		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2002		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2003		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2004		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2005		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2006		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2007		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2008		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2009		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2010		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2011		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2012		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2013		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2014		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2015		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2016		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2017		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2018		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2019		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2020		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2021		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2022		0	0
1kmE3943N3137	BEL.2.1_1	5218786	2023	Antwerp	2	1
1kmE3943N3137	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3943N3142	BEL.2.1_1	5218786	1986		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1987		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1988		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1989		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1990		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1991		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1992		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1993		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1994		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1995		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1996		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1997		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1998		0	0
1kmE3943N3142	BEL.2.1_1	5218786	1999		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2000		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2001		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2002		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2003		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2004		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2005		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2006		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2007		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2008		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2009		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2010		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2011		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2012		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2013		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2014		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2015		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2016		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2017		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2018		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2019		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2020		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2021		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2022		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2023		0	0
1kmE3943N3142	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3944N3089	BEL.2.4_1	5218786	2009		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2010		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2011		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2012		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2013		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2014		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2015		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2016		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2017		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2018		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2019		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2020		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2021		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2022		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2023		0	0
1kmE3944N3089	BEL.2.4_1	5218786	2024	Flemish Brabant	1	1
1kmE3944N3137	BEL.2.1_1	5218786	1986		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1987		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1988		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1989		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1990		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1991		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1992		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1993		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1994		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1995		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1996		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1997		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1998		0	0
1kmE3944N3137	BEL.2.1_1	5218786	1999		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2000		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2001		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2002		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2003		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2004		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2005		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2006		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2007		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2008		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2009		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2010		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2011		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2012		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2013		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2014		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2015		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2016		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2017		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2018		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2019		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2020		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2021		0	0
1kmE3944N3137	BEL.2.1_1	5218786	2022	Antwerp	1	1
1kmE3944N3137	BEL.2.1_1	5218786	2023	Antwerp	24	1
1kmE3944N3137	BEL.2.1_1	5218786	2024	Antwerp	2	1
1kmE3945N3094	BEL.2.4_1	5218786	2009		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2010		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2011		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2012		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2013		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2014		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2015		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2016		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2017		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2018		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2019		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2020		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2021		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2022		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2023		0	0
1kmE3945N3094	BEL.2.4_1	5218786	2024	Flemish Brabant	1	1
1kmE3945N3145	BEL.2.1_1	5218786	1986		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1987		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1988		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1989		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1990		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1991		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1992		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1993		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1994		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1995		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1996		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1997		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1998		0	0
1kmE3945N3145	BEL.2.1_1	5218786	1999		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2000		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2001		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2002		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2003		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2004		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2005		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2006		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2007		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2008		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2009		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2010		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2011		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2012		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2013		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2014		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2015		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2016		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2017		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2018		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2019		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2020		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2021		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2022		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2023		0	0
1kmE3945N3145	BEL.2.1_1	5218786	2024	Antwerp	3	1
1kmE3946N3153	BEL.2.1_1	5218786	1986		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1987		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1988		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1989		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1990		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1991		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1992		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1993		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1994		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1995		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1996		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1997		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1998		0	0
1kmE3946N3153	BEL.2.1_1	5218786	1999		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2000		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2001		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2002		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2003		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2004		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2005		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2006		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2007		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2008		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2009		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2010		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2011		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2012		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2013		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2014		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2015		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2016		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2017		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2018		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2019		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2020		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2021		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2022		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2023		0	0
1kmE3946N3153	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3947N3137	BEL.2.1_1	5218786	1986		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1987		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1988		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1989		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1990		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1991		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1992		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1993		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1994		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1995		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1996		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1997		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1998		0	0
1kmE3947N3137	BEL.2.1_1	5218786	1999		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2000		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2001		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2002		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2003		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2004		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2005		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2006		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2007		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2008		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2009		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2010		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2011		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2012		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2013		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2014		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2015		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2016		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2017		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2018		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2019		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2020		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2021		0	0
1kmE3947N3137	BEL.2.1_1	5218786	2022	Antwerp	1	1
1kmE3947N3137	BEL.2.1_1	5218786	2023	Antwerp	1	1
1kmE3947N3137	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3947N3154	BEL.2.1_1	5218786	1986		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1987		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1988		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1989		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1990		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1991		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1992		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1993		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1994		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1995		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1996		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1997		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1998		0	0
1kmE3947N3154	BEL.2.1_1	5218786	1999		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2000		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2001		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2002		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2003		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2004		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2005		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2006		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2007		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2008		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2009		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2010		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2011		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2012		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2013		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2014		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2015		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2016		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2017		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2018		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2019		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2020		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2021		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2022		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2023		0	0
1kmE3947N3154	BEL.2.1_1	5218786	2024	Antwerp	1	1
1kmE3948N3091	BEL.2.4_1	5218786	2009		0	0
1kmE3948N3091	BEL.2.4_1	5218786	2010		0	0
1kmE3948N3091	BEL.2.4_1	5218786	2011		0	0
